ogbn-products,DGL,28.09,28.09,28.09,29.76,29.76,29.76
ogbn-products,Quiver,190.84,106.15,22.49,194.16,109.67,23.01
ogbn-products,Groot,17.15,19.23,15.07,17.59,17.96,15.41
reorder-papers100M,DGL,87.1,87.1,87.1,93,93,93
reorder-papers100M,Quiver,255.23,188.34,61.89,242.71,184.21,61.05
